Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
30,918,34,May 6,MIN,@,CLE,L3-4,CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.200,.279,.391,.670,3,1.40,0.089,1.80,0.07%,-0.13,14.00,18.70,SS
31,919,35,May 7,MIN,@,CLE,L0-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.193,.271,.378,.649,2,.79,-0.084,1.07,-0.07%,-0.72,0.00,0.00,SS
32,920,36,May 9,MIN,,SDP,L1-6,CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.185,.261,.363,.624,2,1.24,-0.160,1.31,-0.10%,-1.78,0.00,0.00,SS
33,921,37,May 10,MIN,,SDP,W4-3,CG(11),5,3,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,.189,.273,.370,.643,3,1.41,0.042,1.49,0.03%,1.19,11.00,15.50,SS
34,922,38,May 11,MIN,,SDP,W5-3,CG,4,4,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,.191,.272,.374,.646,3,1.24,0.246,1.27,0.15%,1.44,9.00,13.00,SS
35,923,39,May 12,MIN,,CHC,L2-6,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,.193,.272,.378,.649,3,1.46,-0.227,1.61,-0.15%,-1.35,5.00,6.00,SS
36,924,40,May 13,MIN,,CHC,W11-1,GS-9,5,5,1,2,0,0,1,3,0,0,2,0,0,0,0,0,0,0,.200,.276,.400,.676,3,.20,-0.020,.21,-0.01%,2.06,21.00,28.70,SS
37,925,41,May 14,MIN,,CHC,W16-3,GS-9,5,5,1,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,.207,.280,.407,.686,3,.36,0.132,.40,0.09%,0.90,14.00,19.20,SS
38,926,42,May 15,MIN,@,LAD,L8-9,GS-9,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.201,.277,.396,.673,3,1.41,-0.057,1.55,-0.04%,-0.84,2.00,3.00,SS
39,927,43,May 16,MIN,@,LAD,W5-1,CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.201,.275,.390,.664,2,1.06,-0.143,1.18,-0.10%,-1.80,3.00,3.00,SS
40,928,44,May 17,MIN,@,LAD,L3-7,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.203,.274,.386,.660,3,1.51,-0.029,1.73,-0.02%,-0.33,3.00,3.00,SS
41,929,45,May 19,MIN,@,LAA,L4-5,CG,4,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,.201,.285,.384,.669,2,.77,0.065,.91,0.05%,0.56,8.00,12.20,SS
42,930,46,May 20,MIN,@,LAA,W6-2,CG,5,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.205,.299,.385,.684,2,.69,0.058,.78,0.04%,1.03,9.00,12.00,SS
43,931,47,May 21,MIN,@,LAA,L2-4,CG,4,4,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,.206,.298,.388,.686,2,1.29,-0.023,1.50,-0.02%,-0.22,7.00,9.50,SS
44,932,48,May 22,MIN,,SFG,L1-4,CG,4,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.213,.302,.396,.699,2,.70,0.009,.72,0.01%,0.18,8.00,9.00,SS
45,933,51 (2),May 26,MIN,,TOR,L1-3,CG,5,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.215,.310,.395,.705,2,1.24,0.063,1.23,0.04%,0.64,7.00,9.00,SS
46,934,53 (1),May 28,MIN,,TOR,L0-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.216,.308,.392,.701,3,1.25,-0.106,1.23,-0.06%,-0.97,3.00,3.00,SS
47,935,54,May 29,MIN,@,HOU,W7-5,CG(10),6,5,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.210,.304,.381,.686,3,1.14,-0.135,1.14,-0.08%,-1.43,4.00,6.20,SS
48,936,55,May 30,MIN,@,HOU,L1-5,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.211,.303,.378,.682,3,.77,-0.017,.79,-0.01%,-0.53,3.00,3.00,SS
49,937,56,May 31,MIN,@,HOU,W8-2,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.211,.303,.378,.682,1,,,,,,0.00,0.00,SS
50,938,57,Jun 1,MIN,,CLE,W7-6,GS-7,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.207,.299,.372,.671,3,1.04,-0.075,1.19,-0.05%,-0.78,0.00,0.00,SS
51,939,61 (3),Jun 6,MIN,@,TBR,L0-7,CG,4,4,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,.208,.298,.375,.673,3,.39,0.029,.36,0.02%,-0.36,5.00,6.00,SS
52,940,62,Jun 7,MIN,@,TBR,L1-2,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.204,.293,.367,.660,3,1.44,-0.142,1.28,-0.08%,-1.01,0.00,0.00,SS
53,941,63,Jun 8,MIN,@,TBR,L2-4,CG,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.210,.296,.385,.681,4,1.27,0.035,1.13,0.02%,0.39,17.00,21.70,SS
54,942,64,Jun 9,MIN,@,TOR,W3-2,CG(10),4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.212,.300,.384,.684,4,1.31,-0.050,1.13,-0.03%,-0.10,5.00,6.00,SS
55,943,65,Jun 10,MIN,@,TOR,W9-4,CG,5,5,1,1,0,0,1,4,0,0,2,0,0,0,0,0,0,0,.212,.298,.394,.692,4,1.62,0.458,1.44,0.25%,1.57,20.00,29.20,SS
