Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
75,1457,108,Aug 2,PHI,@,MIA,L8-9,CG(12),6,5,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,.291,.384,.408,.792,3,1.09,0.009,1.32,0.01%,0.05,9.00,12.20,DH
76,1458,109,Aug 3,PHI,@,MIA,W4-2,CG,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.294,.386,.409,.795,3,.61,0.048,.75,0.04%,0.56,6.00,6.00,1B
77,1459,110,Aug 4,PHI,,KCR,L5-7,CG,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.290,.383,.403,.786,3,1.40,-0.128,1.51,-0.08%,-1.07,2.00,3.00,1B
78,1460,111,Aug 5,PHI,,KCR,W9-6,CG,4,4,1,3,1,0,1,2,0,0,1,0,0,0,0,0,0,0,.296,.387,.422,.809,3,.93,0.291,.92,0.17%,2.98,24.00,31.20,DH
79,1461,112,Aug 6,PHI,,KCR,W8-4,CG,4,3,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,.300,.388,.428,.816,3,.75,0.048,.77,0.03%,0.42,14.00,18.90,DH
80,1462,113,Aug 8 (1),PHI,,WSN,W8-4,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.296,.384,.422,.806,3,.42,-0.043,.43,-0.03%,-0.89,0.00,0.00,1B
81,1463,114,Aug 8 (2),PHI,,WSN,L4-5,CG,5,5,1,1,0,0,1,2,0,0,3,0,0,0,0,0,0,0,.294,.381,.428,.809,3,1.41,0.148,1.34,0.08%,0.85,16.00,22.20,DH
82,1464,115,Aug 9,PHI,,WSN,W7-0,CG,4,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.294,.380,.429,.809,3,.36,0.103,.36,0.06%,0.37,9.00,12.70,1B
83,1465,116,Aug 10,PHI,,WSN,W6-2,GS-5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.293,.381,.428,.808,3,1.32,-0.005,1.17,0.00%,0.05,2.00,3.00,1B
84,1466,118 (1),Aug 12,PHI,,MIN,L1-8,CG,4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.292,.379,.429,.808,3,.46,0.017,.36,0.01%,-0.02,5.00,6.00,DH
85,1467,119,Aug 13,PHI,,MIN,L0-3,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.289,.378,.425,.802,3,1.27,-0.080,1.07,-0.04%,-0.53,2.00,3.00,DH
86,1468,120,Aug 15,PHI,@,TOR,L1-2,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.286,.374,.419,.793,3,1.17,-0.122,1.00,-0.06%,-0.75,0.00,0.00,DH
87,1469,121,Aug 16,PHI,@,TOR,W9-4,CG,5,4,3,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,.291,.379,.442,.821,3,.46,0.148,.42,0.08%,2.31,35.00,46.60,1B
88,1470,122,Aug 18,PHI,@,WSN,L7-8,CG,5,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.293,.380,.444,.824,3,1.35,0.040,1.09,0.02%,0.51,10.00,12.20,1B
89,1471,123,Aug 19,PHI,@,WSN,W12-3,CG,6,2,2,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,.294,.387,.444,.831,3,.82,0.047,.70,0.02%,1.10,15.00,21.40,DH
90,1472,124,Aug 20,PHI,@,WSN,L3-4,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.292,.385,.440,.826,3,.60,0.000,.46,0.00%,-0.24,2.00,3.00,1B
91,1473,125,Aug 21,PHI,,SFG,W10-4,CG,5,5,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.293,.385,.449,.834,4,.49,0.148,.51,0.09%,1.06,19.00,25.20,DH
92,1474,126,Aug 22,PHI,,SFG,W4-3,CG,4,3,1,2,0,0,1,2,1,0,1,0,0,0,0,0,0,1,.297,.389,.459,.848,4,1.13,0.263,1.06,0.15%,2.09,21.00,28.20,DH
