Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
42,771,53,May 26,NYY,,SDP,L1-5,CG,4,4,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,.287,.399,.627,1.026,2,.77,0.019,.71,0.01%,0.38,5.00,6.00,RF
43,772,54,May 27,NYY,,SDP,W3-2,CG(10),4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.286,.396,.617,1.013,2,1.22,-0.182,1.13,-0.10%,-0.75,5.00,6.20,DH
44,773,55,May 28,NYY,,SDP,W10-7,CG,4,4,2,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.291,.398,.633,1.031,2,.76,0.156,.75,0.09%,1.32,21.00,28.40,RF
45,774,56,May 29,NYY,@,SEA,W10-4,CG,5,4,3,3,1,0,2,3,1,0,0,0,0,0,0,0,0,0,.302,.408,.679,1.087,2,.72,0.276,.78,0.18%,3.69,39.00,53.10,RF
46,775,57,May 30,NYY,@,SEA,W10-2,GS-9,5,3,2,1,0,0,1,1,2,0,2,0,0,0,0,0,0,0,.303,.413,.691,1.104,2,.42,0.054,.47,0.04%,1.61,20.00,27.90,RF
47,776,58,May 31,NYY,@,SEA,L0-1,CG(10),4,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.298,.410,.679,1.088,2,1.31,-0.064,1.48,-0.04%,-0.62,2.00,3.00,DH
48,777,59,Jun 2,NYY,@,LAD,L4-8,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.291,.402,.663,1.065,2,.58,-0.097,.59,-0.06%,-1.57,0.00,0.00,RF
49,778,60,Jun 3,NYY,@,LAD,W6-3,CG,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.291,.404,.674,1.078,2,.45,0.037,.47,0.02%,0.84,16.00,21.70,RF
50,779,103 (42),Jul 28,NYY,@,BAL,L0-1,CG,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.290,.410,.670,1.081,2,.96,0.073,.91,0.04%,0.43,6.00,9.00,DH
51,780,104,Jul 29,NYY,@,BAL,W8-3,GS-7,5,5,2,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.298,.414,.685,1.099,2,.65,0.221,.52,0.11%,1.82,24.00,31.40,RF
52,781,106 (1),Jul 31,NYY,,TBR,L1-5,CG,4,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,.297,.420,.681,1.102,2,.63,0.052,.50,0.03%,0.70,6.00,9.00,DH
53,782,107,Aug 1,NYY,,TBR,L2-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.296,.417,.672,1.089,2,.52,-0.016,.34,-0.01%,-0.68,3.00,3.00,DH
54,783,108,Aug 2,NYY,,TBR,W7-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.295,.415,.663,1.078,2,.60,-0.051,.33,-0.02%,-0.71,3.00,3.00,DH
55,784,109,Aug 3,NYY,,HOU,W4-3,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.290,.412,.653,1.065,2,.79,-0.043,.54,-0.02%,-0.51,4.00,6.20,DH
